Author,Road Segment ID,Bounding Street #1,Bounding Street #2,Intersection #1 ID,Intersection #2 ID,Intersection #1 Latitude,Intersection #1 Longtitude,Intersection #2 Latitude,Intersection #2 Longtitude,Road Segment Street,Lanes in each direction,Lanes in Street #1 -> Street #2 direction,Lanes in Street #2 -> Street #1 direction,Length (m)
Marat,246,Castleberry St SW,Fair St SW,269,215,"33d44'54.65""N","84d24'1.73""W","33d44'52.59""N","84d24'4.24""W",Peters St SW,4,2,2,91
Marat,247,Williams St NW,Spring St NW,285,18,"33d45'39.43""N","84d23'26.04""W","33d45'39.48""N","84d23'20.53""W",John Portman Blvd,4,2,2,142
Marat,248,Spring St NW,Peachtree St NE,18,24,"33d45'39.48""N","84d23'20.53""W","33d45'39.44""N","84d23'15.27""W",John Portman Blvd,4,2,2,135
Marat,249,Peachtree St NE,Peachtree Center Ave NE,24,27,"33d45'39.44""N","84d23'15.27""W","33d45'39.27""N","84d23'9.75""W",John Portman Blvd,4,2,2,143
Marat,250,Peachtree Center Ave NE,Courtland St NE,27,30,"33d45'39.27""N","84d23'9.75""W","33d45'39.19""N","84d23'3.04""W",John Portman Blvd,4,2,2,174
Marat,251,Courtland St NE,Piedmont Ave NE,30,73,"33d45'39.19""N","84d23'3.04""W","33d45'39.19""N","84d22'55.79""W",John Portman Blvd,4,2,2,186
Marat,252,Andrew Young International Blvd NW,John Portman Blvd,13,285,"33d45'34.85""N","84d23'26.09""W","33d45'39.43""N","84d23'26.04""W",William St NW,4,2,2,142
Marat,253,John Portman Blvd,Baker St NW,285,12,"33d45'39.43""N","84d23'26.04""W","33d45'44.00""N","84d23'25.96""W",William St NW,4,2,2,140
Marat,254,Baker St NW,Simpson St NW,12,11,"33d45'44.00""N","84d23'25.96""W","33d45'47.94""N","84d23'25.80""W",William St NW,4,2,2,121
Marat,255,Simpson St NW,West Peachtree Pl NW,11,10,"33d45'47.94""N","84d23'25.80""W","33d45'50.43""N","84d23'25.33""W",William St NW,4,2,2,78
Marat,256,West Peachtree Pl NW,Ivan Allen Jr Blvd,10,9,"33d45'50.43""N","84d23'25.33""W","33d45'52.62""N","84d23'25.31""W",William St NW,4,2,2,64
Marat,257,Peachtree St NE,Forsyth St NW,102,98,"33d45'24.89""N","84d23'17.25""W","33d45'26.01""N","84d23'18.48""W",William St NW,2,1,1,46
Marat,258,Forsyth St NW,Fairlie St NW,98,97,"33d45'26.01""N","84d23'18.48""W","33d45'27.87""N","84d23'20.38""W",William St NW,2,1,1,75
Marat,259,Fairlie St NW,Cone St NW,97,39,"33d45'27.87""N","84d23'20.38""W","33d45'29.67""N","84d23'22.27""W",William St NW,2,1,1,73
Marat,260,Spring St NW,Andrew Young International Blvd NW,14,13,"33d45'31.62""N","84d23'24.26""W","33d45'34.85""N","84d23'26.09""W",William St NW,4,2,2,114
Marat,261,Spring St NW,Andrew Young International Blvd NW,15,16,"33d45'33.25""N","84d23'22.01""W","33d45'34.73""N","84d23'23.57""W",Margaret Mitchell Square NW,4,2,2,61
Marat,262,Andrew Young International Blvd NW,John Portman Blvd,17,18,"33d45'34.80""N","84d23'20.65""W","33d45'39.48""N","84d23'20.53""W",Spring St NW,4,2,2,143
Marat,263,John Portman Blvd,Baker St NW,18,19,"33d45'39.48""N","84d23'20.53""W","33d45'43.96""N","84d23'20.53""W",Spring St NW,4,2,2,138
Marat,264,Baker St NW,Simpson St NW,19,20,"33d45'43.96""N","84d23'20.53""W","33d45'48.06""N","84d23'20.46""W",Spring St NW,4,2,2,126
Marat,265,Simpson St NW,West Peachtree Pl NW,20,21,"33d45'48.06""N","84d23'20.46""W","33d45'50.53""N","84d23'20.38""W",Spring St NW,4,2,2,75
Marat,266,West Peachtree Pl NW,Ivan Allen Jr Blvd,21,22,"33d45'50.53""N","84d23'20.38""W","33d45'52.82""N","84d23'20.33""W",Spring St NW,4,2,2,69
Marat,267,Andrew Young International Blvd NW,John Portman Blvd,25,24,"33d45'34.77""N","84d23'15.31""W","33d45'39.44""N","84d23'15.27""W",West Peachtree St NW,4,2,2,142
Marat,268,John Portman Blvd,Baker St NW,24,23,"33d45'39.44""N","84d23'15.27""W","33d45'43.90""N","84d23'15.21""W",West Peachtree St NW,4,2,2,139
Marat,269,Baker St NW,Simpson St NW,23,61,"33d45'43.90""N","84d23'15.21""W","33d45'47.88""N","84d23'15.26""W",West Peachtree St NW,4,2,2,123
Marat,270,Simpson St NW,West Peachtree Pl NW,61,60,"33d45'47.88""N","84d23'15.26""W","33d45'50.09""N","84d23'15.10""W",West Peachtree St NW,4,2,2,69
Marat,271,West Peachtree Pl NW,Porter Pl NE,60,63,"33d45'50.09""N","84d23'15.10""W","33d45'52.04""N","84d23'15.13""W",West Peachtree St NW,4,2,2,61
Marat,272,Porter Pl NE,Ivan Allen Jr Blvd,63,59,"33d45'52.04""N","84d23'15.13""W","33d45'52.96""N","84d23'15.02""W",West Peachtree St NW,4,2,2,28
Marat,273,Andrew Young International Blvd NE,John Portman Blvd,26,27,"33d45'34.67""N","84d23'9.81""W","33d45'39.27""N","84d23'9.75""W",Peachtree Center Ave NE,4,2,2,142
Marat,274,John Portman Blvd,Baker St NW,27,28,"33d45'39.27""N","84d23'9.75""W","33d45'43.79""N","84d23'9.66""W",Peachtree Center Ave NE,4,2,2,141
Marat,275,Baker St NW,Porter Pl NE,28,64,"33d45'43.79""N","84d23'9.66""W","33d45'50.55""N","84d23'9.98""W",Peachtree Center Ave NE,4,2,2,211
Marat,276,Porter Pl NE,Ralph McGill Blvd NE,64,65,"33d45'50.55""N","84d23'9.98""W","33d45'52.18""N","84d23'8.68""W",Peachtree Center Ave NE,4,2,2,58
Marat,277,Andrew Young International Blvd NE,John Portman Blvd,31,30,"33d45'34.61""N","84d23'3.15""W","33d45'39.19""N","84d23'3.04""W",Courtland St NE,5,3,2,141
Marat,278,John Portman Blvd,Baker St NW,30,29,"33d45'39.19""N","84d23'3.04""W","33d45'43.77""N","84d23'2.95""W",Courtland St NE,5,3,2,141
Marat,279,Centennial Olympic Park Dr NW,Andrew Young International Blvd NW,86,85,"33d45'19.61""N","84d23'53.11""W","33d45'28.60""N","84d23'57.07""W",Andrew Young International Blvd NW,4,2,2,320
Marat,280,Centennial Olympic Park Dr NW,Andrew Young International Blvd NW,87,84,"33d45'21.31""N","84d23'50.51""W","33d45'28.70""N","84d23'50.26""W",Philips Dr,2,1,1,229
Marat,281,Marietta St NW,Luckie St NW,78,79,"33d45'40.69""N","84d23'45.61""W","33d45'42.97""N","84d23'42.31""W",Baker St NW,4,2,2,109
Marat,282,Philips Dr,Marietta St NW,84,75,"33d45'28.70""N","84d23'50.26""W","33d45'32.34""N","84d23'39.63""W",Andrew Young International Blvd NW,4,2,2,308
Marat,283,Andrew Young International Blvd NW,Philips Dr,85,84,"33d45'28.60""N","84d23'57.07""W","33d45'28.70""N","84d23'50.26""W",Andrew Young International Blvd NW,4,2,2,170
